record_id,area_code,facility_name,facility_name_normalized,municipality,match_status,match_method,reason_code,candidate_count,match_score,p04_feature_index,p04_name,p04_name_normalized,p04_category,p04_address,p04_municipality,p04_beds,longitude,latitude
R7-3401-50,3401,生協さえき病院,生協さえき病院,広島市佐伯区,matched,normalized_suffix,,1,,150721,広島中央保健生活協同組合　生協さえき病院,広島中央保健生活協同組合生協さえき病院,1,広島市佐伯区八幡東３－１１－２９,広島市佐伯区,114,132.36497356589777,34.38779382575787
R7-3401-51,3401,医療法人社団初仁会 桧田病院,初仁会桧田病院,広島市佐伯区,matched,normalized_exact,,1,,150782,医療法人社団初仁会　桧田病院,初仁会桧田病院,1,広島市佐伯区五日市中央１－１－３２,広島市佐伯区,174,132.35459737101917,34.36736568833575
R7-3401-52,3401,広島中央リハビリテーション病院,広島中央リハビリテション病院,広島市中区,matched,normalized_exact,,1,,147856,広島中央リハビリテーション病院,広島中央リハビリテション病院,1,広島市中区平野町６‐２４,広島市中区,110,132.46256,34.380237
R7-3401-53,3401,荒木脳神経外科病院,荒木脳神経外科病院,広島市西区,matched,normalized_exact,,1,,150560,荒木脳神経外科病院,荒木脳神経外科病院,1,広島市西区庚午北二丁目８－７,広島市西区,110,132.42175040734907,34.390553241807005
R7-3401-54,3401,重症児・者福祉医療施設 鈴が峰,重症児者福祉医療施設鈴が峰,広島市佐伯区,matched,normalized_exact,,1,,150763,重症児・者福祉医療施設　鈴が峰,重症児者福祉医療施設鈴が峰,1,広島市佐伯区五日市町皆賀１０４番２７,広島市佐伯区,110,132.3725627995946,34.38128890275757
R7-3401-55,3401,医療法人社団　生和会　広島はくしま病院,生和会広島はくしま病院,広島市中区,unmatched,none,no_name_match,0,,,,,,,,,,
R7-3401-56,3401,医療法人メディカルパーク 野村病院,メディカルパク野村病院,広島市安佐南区,unmatched,none,no_name_match,0,,,,,,,,,,
R7-3401-57,3401,医療法人社団 生和会 たかの橋中央病院,生和会たかの橋中央病院,広島市中区,candidate_only,none,no_name_match,1308,0.8182,150341,医療法人社団仁鷹会　たかの橋中央病院,仁鷹会たかの橋中央病院,1,広島市中区国泰寺町二丁目４－１６,広島市中区,106,,
R7-3401-58,3401,安佐医師会病院,安佐医師会病院,広島市安佐北区,unmatched,none,no_name_match,0,,,,,,,,,,
R7-3401-59,3401,医療法人みずの会 さんよう水野病院,みずの会さんよう水野病院,広島市安佐南区,matched,normalized_exact,,1,,151159,医療法人みずの会　さんよう水野病院,みずの会さんよう水野病院,1,広島市安佐南区川内４丁目１３号３３番,広島市安佐南区,100,132.48898871444385,34.462778176824955
R7-3401-60,3401,地方独立行政法人 広島市立病院機構 広島市立リハビリテーション病院,広島市立病院機構広島市立リハビリテション病院,広島市安佐南区,matched,normalized_exact,,1,,151047,地方独立行政法人広島市立病院機構　広島市立リハビリテーション病院,広島市立病院機構広島市立リハビリテション病院,1,広島市安佐南区伴南一丁目３９番１号,広島市安佐南区,100,132.38350447960352,34.44931279435167
R7-3401-61,3401,瀬野記念病院,瀬野記念病院,広島市安芸区,unmatched,none,no_name_match,0,,,,,,,,,,
R7-3401-62,3401,医療法人 清泉会 一ノ瀬病院,清泉会一ノ瀬病院,広島市中区,matched,normalized_exact,,1,,150346,医療法人清泉会　一ノ瀬病院,清泉会一ノ瀬病院,1,広島市中区国泰寺町１丁目５－１１,広島市中区,95,132.45602416286448,34.386068510416266
R7-3401-63,3401,槙坪病院,槙坪病院,広島市東区,matched,normalized_exact,,1,,149889,槙坪病院,槙坪病院,1,広島市東区光町１－１４－２,広島市東区,320,132.48012526163416,34.39877616736669
