published_fy,pref_code,pref_name,area_code,area_name,direction,overall_rate
R7,25,滋賀県,2501,大津,流出率,0.24021631760014972
R7,25,滋賀県,2502,湖南,流入率,0.35459114802110114
R7,25,滋賀県,2502,湖南,流出率,0.23635018041391487
R7,25,滋賀県,2503,甲賀,流入率,0.14006163589430698
R7,25,滋賀県,2503,甲賀,流出率,0.4102174689494421
R7,25,滋賀県,2504,東近江,流入率,0.16332979679684245
R7,25,滋賀県,2504,東近江,流出率,0.28371179064576946
R7,25,滋賀県,2505,湖東,流入率,0.12364582910658273
R7,25,滋賀県,2505,湖東,流出率,0.3441961458492594
R7,25,滋賀県,2506,湖北,流入率,0.11608079234135282
R7,25,滋賀県,2506,湖北,流出率,0.14012837096485142
R7,25,滋賀県,2507,湖西,流入率,0.07133935885323417
R7,25,滋賀県,2507,湖西,流出率,0.4107187004680585
R7,26,京都府,2601,丹後,流入率,0.06871738464403598
R7,26,京都府,2601,丹後,流出率,0.20581746338486484
R7,26,京都府,2602,中丹,流入率,0.17060989700246787
R7,26,京都府,2602,中丹,流出率,0.1289635694860949
R7,26,京都府,2603,南丹,流入率,0.07231914800046979
R7,26,京都府,2603,南丹,流出率,0.4337108295967904
R7,26,京都府,2604,京都・乙訓,流入率,0.1759684510022459
R7,26,京都府,2604,京都・乙訓,流出率,0.06946833541542141
R7,26,京都府,2605,山城北,流入率,0.2617038894277016
R7,26,京都府,2605,山城北,流出率,0.33526483705290244
R7,26,京都府,2606,山城南,流入率,0.23097940607240697
R7,26,京都府,2606,山城南,流出率,0.6105505506126216
R7,27,大阪府,2701,豊能,流入率,0.32904103312922317
R7,27,大阪府,2701,豊能,流出率,0.2919940530150884
R7,27,大阪府,2702,三島,流入率,0.19115404708772143
R7,27,大阪府,2702,三島,流出率,0.2549169999150197
R7,27,大阪府,2703,北河内,流入率,0.1438875636619068
R7,27,大阪府,2703,北河内,流出率,0.21595394809347435
R7,27,大阪府,2704,中河内,流入率,0.1778312496203317
R7,27,大阪府,2704,中河内,流出率,0.37192699595197043
R7,27,大阪府,2705,南河内,流入率,0.31956611876458585
R7,27,大阪府,2705,南河内,流出率,0.2850347229696133
R7,27,大阪府,2706,堺市,流入率,0.22002275208262223
R7,27,大阪府,2706,堺市,流出率,0.2717868587599378
R7,27,大阪府,2707,泉州,流入率,0.1436393956786215
R7,27,大阪府,2707,泉州,流出率,0.2065976894971644
